Task: 1, Test Name: Newsletter section is displayed, DOM Id: collapse_4, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Site logo is displayed, DOM Id: IMG____9, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Header navigation is hidden, DOM Id: DIV__mainmenu__15, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Search field is displayed, DOM Id: INPUTtext____42, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Search placeholder text is equal to 'Search over 10,000 shoes!', DOM Id: INPUTtext____42, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Search icon is displayed, DOM Id: I__headericon__44, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Account link is displayed, DOM Id: DIV__dropdowndr__55, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wish list link is hidden, DOM Id: A__wishlist__52, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Shopping cart link is displayed, DOM Id: DIV__dropdowndr__48, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Shopping cart counter is displayed, DOM Id: STRONG____50, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Shopping cart counter text is equal to '2', DOM Id: STRONG____50, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Sort select is displayed, DOM Id: sort, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Default sort type is 'Sort by popularity', DOM Id: sort, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: List view toggle is hidden, DOM Id: I__tiviewlist__204, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Grid view toggle is hidden, DOM Id: I__tiviewgrid__202, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Filters' label is displayed, DOM Id: SPAN____208, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Filters are displayed, DOM Id: filter_col, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Quick links' footer category is displayed, DOM Id: H3____421, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Contacts' footer category is displayed, DOM Id: H3____437, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: 'Keep in touch' footer category is displayed, DOM Id: H3____447, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Quick links section is displayed, DOM Id: collapse_1, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Contacts section is displayed, DOM Id: collapse_3, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Newsletter section is displayed, DOM Id: collapse_4, Browser: Edge, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Site logo is displayed, DOM Id: IMG____9, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Header navigation is hidden, DOM Id: DIV__mainmenu__15, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Search field is displayed, DOM Id: INPUTtext____42, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Search icon is displayed, DOM Id: A__btnsearchm__59, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Account link is displayed, DOM Id: DIV__dropdowndr__55, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Wish list link is hidden, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Shopping cart link is displayed, DOM Id: DIV__dropdowndr__48, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Shopping cart counter is hidden, DOM Id: STRONG____50, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Sort select is displayed, DOM Id: sort, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Default sort type is 'Sort by popularity', DOM Id: sort, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: List view toggle is hidden, DOM Id: I__tiviewlist__204, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Grid view toggle is hidden, DOM Id: I__tiviewgrid__202, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: 'Filters' label is hidden, DOM Id: SPAN____208, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Filters are displayed, DOM Id: filter_col, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: 'Quick links' footer category is displayed, DOM Id: H3____421, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: 'Contacts' footer category is displayed, DOM Id: H3____437, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: 'Keep in touch' footer category is displayed, DOM Id: H3____447, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Quick links section is hidden, DOM Id: collapse_1, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Contacts section is hidden, DOM Id: collapse_3, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 1, Test Name: Newsletter section is hidden, DOM Id: collapse_4, Browser: Chrome, Viewport: 500 x 700, Device: iPhone X, Status: Pass
Task: 2, Test Name: Filtering by 'Black' color returns 2 black shoes, DOM Id: product_grid, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 2, Test Name: Filtering by 'Black' color returns 2 black shoes, DOM Id: product_grid, Browser: Firefox, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 2, Test Name: Filtering by 'Black' color returns 2 black shoes, DOM Id: product_grid, Browser: Edge, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 2, Test Name: Filtering by 'Black' color returns 2 black shoes, DOM Id: product_grid, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
